Date,Open,High,Low,Close,Adjusted_close,Volume
2019-02-19,169.71,171.44,169.49,170.93,41.7225,75891320
2019-02-20,171.19,173.32,170.99,172.03,41.991,104457436
2019-02-21,171.8,172.37,170.3,171.06,41.7542,68998680
2019-02-22,171.58,173,171.38,172.97,42.2204,75652600
2019-02-25,174.16,175.87,173.95,174.23,42.528,87493436
2019-02-26,173.71,175.3,173.1732,174.33,42.5524,68280844
2019-02-27,173.21,175,172.73,174.87,42.6842,111341564
2019-02-28,174.32,174.91,172.92,173.15,42.2643,112861680
2019-03-01,174.28,175.15,172.89,174.97,42.7086,103544680
2019-03-04,175.69,177.75,173.97,175.85,42.9234,109744796
2019-03-05,175.94,176,174.54,175.53,42.8453,78949680
2019-03-06,174.67,175.49,173.94,174.52,42.5987,83241524
2019-03-07,173.87,174.44,172.02,172.5,42.1057,99185476
2019-03-08,170.32,173.07,169.5,172.91,42.2058,95997436
2019-03-11,175.49,179.12,175.35,178.9,43.6679,128044116
2019-03-12,180,182.67,179.37,180.91,44.1585,129870320
2019-03-13,182.25,183.3,180.92,181.71,44.3538,124130080
2019-03-14,183.9,184.1,182.56,183.73,44.8468,94318040
2019-03-15,184.85,187.33,183.74,186.12,45.4302,156171640
2019-03-18,185.8,188.39,185.79,188.02,45.894,104879320
2019-03-19,188.35,188.99,185.92,186.53,45.5303,126585476
2019-03-20,186.23,189.49,184.73,188.16,45.9282,124140920
2019-03-21,190.02,196.33,189.81,195.09,47.6197,204136952
2019-03-22,195.34,197.69,190.78,191.05,46.6336,169630688
2019-03-25,191.51,191.98,186.6,188.74,46.0697,175381156
2019-03-26,191.664,192.88,184.58,186.79,45.5937,199202156
2019-03-27,188.75,189.76,186.55,188.47,46.0038,119393720
2019-03-28,188.95,189.559,187.53,188.72,46.0648,83121436
2019-03-29,189.83,190.08,188.54,189.95,46.3651,94255844
2019-04-01,191.64,191.68,188.38,191.24,46.68,111447844
2019-04-02,191.09,194.46,191.05,194.02,47.3585,91062920
2019-04-03,193.25,196.5,193.15,195.35,47.6832,93087320
2019-04-04,194.79,196.37,193.14,195.69,47.7662,76457116
2019-04-05,196.45,197.1,195.93,197,48.0859,74106564
2019-04-08,196.42,200.23,196.34,200.1,48.8426,103526796
2019-04-09,200.32,202.85,199.23,199.5,48.6961,143072952
2019-04-10,198.68,200.74,198.18,200.62,48.9695,86781156
2019-04-11,200.85,201,198.4431,198.95,48.5619,83603244
2019-04-12,199.2,200.14,196.21,198.87,48.5424,111042680
2019-04-15,198.58,199.85,198.01,199.23,48.6302,70146600
2019-04-16,199.46,201.37,198.56,199.25,48.6351,102785564
2019-04-17,199.54,203.38,198.61,203.13,49.5822,115627116
2019-04-18,203.12,204.15,202.52,203.86,49.7604,96783080
2019-04-22,202.83,204.94,202.34,204.53,49.9239,77758204
2019-04-23,204.43,207.75,203.9,207.48,50.644,93291960
2019-04-24,207.36,208.48,207.05,207.16,50.5659,70162436
2019-04-25,206.83,207.76,205.12,205.28,50.107,74172844
2019-04-26,204.9,205,202.12,204.3,49.8678,74596400
2019-04-29,204.4,205.97,203.86,204.61,49.9434,88818884
2019-04-30,203.06,203.4,199.11,200.67,48.9817,186139688
2019-05-01,209.88,215.31,209.23,210.52,51.386,259309312
2019-05-02,209.84,212.65,208.13,209.15,51.0516,127985280
2019-05-03,210.89,211.84,210.23,211.75,51.6863,83569524
